IDs,title,fol_or_p
A-Wn_Mus.Hs._18688_n03,Coree Rosina [Tripl] (Coree),5v-6r
A-Wn_Mus.Hs._18688_n04,preambulúm (Präambulum),6r
A-Wn_Mus.Hs._18688_n05,[Zart schöne fraw] (Zarte schöne Frau),6v-7r
A-Wn_Mus.Hs._18688_n06,[Elslein] (Elslein),7v
A-Wn_Mus.Hs._18688_n07,Sub diver[sis] (Sub diversis),8r
A-Wn_Mus.Hs._18688_n08,[Paduane] (Padoana),8v_1-5
A-Wn_Mus.Hs._18688_n09,[Paduane] (Padoana),8v_6-8
A-Wn_Mus.Hs._18688_n10,padúane (Padoana),9r_1-3
A-Wn_Mus.Hs._18688_n11,[Preambulum] (Präambulum),9r_4-8
A-Wn_Mus.Hs._18688_n12,Asinus in Maio (Asinus in Maio),9v
A-Wn_Mus.Hs._18688_n13,[Calata] (Calata alla spagnola),10r
A-Wn_Mus.Hs._18688_n14,[Preambulum] (Präambulum),10r
A-Wn_Mus.Hs._18688_n15,[untitled] ([untitled]),10v-11v
A-Wn_Mus.Hs._18688_n16,[Nach Willen Dein] (Nach Willen dein),11v-12r
A-Wn_Mus.Hs._18688_n17,postlúdiol[o] (Postludium),12r_7
A-Wn_Mus.Hs._18688_n18,padúana (Padoana),12v-13r
A-Wn_Mus.Hs._18688_n19,preamb[ulum] (Präambulum),13r
A-Wn_Mus.Hs._18688_n20,[Wascha Mesa] [Tripl] (Wascha mesa*),13v-14r
A-Wn_Mus.Hs._18688_n21,piúa (Piva),14r-15r
A-Wn_Mus.Hs._18688_n22,Coree Tanntzmass (Coree),15v-16r
A-Wn_Mus.Hs._18688_n23,Aúff vnd aúff (Auf und auf),16v
A-Wn_Mus.Hs._18688_n24,[untitled] ([untitled]),17r-18r
A-Wn_Mus.Hs._18688_n25,Coree (Coree),18v
A-Wn_Mus.Hs._18688_n26,Aúff vnd nider (Auf und nieder),18v-19r
A-Wn_Mus.Hs._18688_n27,padúana (Padoana),19v
A-Wn_Mus.Hs._18688_n28,[Saltarello] (Saltarello),19v-20r
A-Wn_Mus.Hs._18688_n29,Rosina (Rossina welscher Tanz),20v-21r
A-Wn_Mus.Hs._18688_n30,piúa (Piva),21r
A-Wn_Mus.Hs._18688_n31,[Der Ziegler in den Hecken] (Der Ziegler in den Hecken),21r
A-Wn_Mus.Hs._18688_n32,[Calata?] (Calata alla spagnola),21v
A-Wn_Mus.Hs._18688_n33,Rúndt tanz (Runder Tanz),22r
A-Wn_Mus.Hs._18688_n34,Hupfau[ff] (Hupfauf),22r
A-Wn_Mus.Hs._18688_n35,Calata (Calata alla spagnola),23r
A-Wn_Mus.Hs._18688_n36,Matunna Katarina (Madonna Katharina),23r-23v
A-Wn_Mus.Hs._18688_n37,Recerkare (Ricercare),23v-24r
A-Wn_Mus.Hs._18688_n38,Zart schone fraw (Zarte schöne Frau),24r-24v
A-Wn_Mus.Hs._18688_n39,Elseleyn (Elslein),24v
A-Wn_Mus.Hs._18688_n40,Cara Cossa (La Cara Cossa),25r
A-Wn_Mus.Hs._18688_n41,priambúlúm (Präambulum),25r
A-Wn_Mus.Hs._18688_n42,Preambúlúm. Preambúlúm (Präambulum),25v
A-Wn_Mus.Hs._18688_n43,padúana (Padoana),25v-26r
A-Wn_Mus.Hs._18688_n44,[Preambulum?] (Präambulum),26r
A-Wn_Mus.Hs._18688_n45,Tephani [Der ander hoff dantz] (Hoftanz),26v
A-Wn_Mus.Hs._18688_n46,Haúen gasen (Gassenhauer),27v
A-Wn_Mus.Hs._18688_n47,Mass Tantz [Salve puella] (Tanzmass Salve puella),27v
A-Wn_Mus.Hs._18688_n48,[Mass Tantz Salve puella] Tripl (Tanzmass Salve puella),28r
A-Wn_Mus.Hs._18688_n49,Tantz [Zeinertanz] (Zeiner Tanz),28r
A-Wn_Mus.Hs._18688_n50,Tantz (Tanz),28v
A-Wn_Mus.Hs._18688_n51,pschissen perg vnd leckh die tall (Beschissen Berg und leck die Tal),29r
A-Wn_Mus.Hs._18688_n52,[Ungleicher prunst lieb und huld] (Ungleicher Brunst),29v
A-Wn_Mus.Hs._18688_n53,Trop plús fin secret (Trop plus secret que ma partie),30v-31r
A-Wn_Mus.Hs._18688_n54,Benedictús (Benedictus),31v-32r
A-Wn_Mus.Hs._18688_n55,Der stifl Tantz (Stiefeltanz),32v
A-Wn_Mus.Hs._18688_n56,Der Húpfauf mit Der mist Róre (Hupfauf),32v
A-Wn_Mus.Hs._18688_n57,Sancty iaco[b]y[s] (Sant Jakob Tanz),33r
A-Wn_Mus.Hs._18688_n58,Die drúncke[n] pinter (Die trunkenen Binder),33r
A-Wn_Mus.Hs._18688_n59,Schniert Schúech affen Tantz (Affentanz),33v
A-Wn_Mus.Hs._18688_n60,Die Milnerin [Ich weiss mir ein schöne Müllerin] (Die Müllerin),34r
A-Wn_Mus.Hs._18688_n61,Vnd da der paff die kúch[in] schlec[ht] (Und da der Pfaffe die Köchin),34r
A-Wn_Mus.Hs._18688_n62,Mein hertz (Mein Herz hat sich mit Liebe verpflichtet),35r
A-Wn_Mus.Hs._18688_n63,Nach willen dein (Nach Willen dein),35r
A-Wn_Mus.Hs._18688_n64,[Ode 1: glyconic verse] ([glyconic verse]),35v
A-Wn_Mus.Hs._18688_n65,[Ode 2: glyconic verse] ([glyconic verse]),35v
A-Wn_Mus.Hs._18827_n01,Pasameza de la Traditore I. Pars [and II. Pars] (Passamezzo),1r-2r
A-Wn_Mus.Hs._18827_n02,Saltarello ditta la tradittora (Saltarello),2r-2v
A-Wn_Mus.Hs._18827_n03,Saltarello tantara (Saltarello),3r-4r
A-Wn_Mus.Hs._18827_n04,La chanella (La canella*),4r-5r
A-Wn_Mus.Hs._18827_n05,passamezo (Passamezzo),5r-6v
A-Wn_Mus.Hs._18827_n06,almunate ioe ún saltarello (Almunate ioe un saltarello*),6v
A-Wn_Mus.Hs._18827_n07,Chiarenzana (Chiaranzana),7v-8v
A-Wn_Mus.Hs._18827_n08,Madonna tenerina (Madonna tenerina),9r-9v
A-Wn_Mus.Hs._18827_n09,[untitled] ([untitled]),9v
A-Wn_Mus.Hs._18827_n10,La Gamb[a] (La Gamba),10r-10v
A-Wn_Mus.Hs._18827_n11,La Traditora (La Traditora),10v-11r
A-Wn_Mus.Hs._18827_n12,Tenor della Chiare[n]zana (Chiaranzana),11v
A-Wn_Mus.Hs._18827_n13,Si la natúre (Si la nature),12r
A-Wn_Mus.Hs._18827_n14,Recercar (Ricercare),12v
A-Wn_Mus.Hs._18827_n15,Dont vient cela (Dont vient cela),27r-27v
A-Wn_Mus.Hs._18827_n16,Te faró stentar (Te faro stentar*),27v-28r
A-Wn_Mus.Hs._18827_n17,Madonna Tenerin[a] (Madonna tenerina),39v
A-Wn_Mus.Hs._41950_n01,preambulum (Präambulum),1r-3r_1-7
A-Wn_Mus.Hs._41950_n02,Nach lauf (Nachlauf),3r_8-11-3v_1
A-Wn_Mus.Hs._41950_n03,praem[bulum] (Präambulum),3v_2
A-Wn_Mus.Hs._41950_n04,AB (AB),5r_1-8
A-Wn_Mus.Hs._41950_n05,[margin left: fragment] ([untitled: fragment]),5r_6
A-Wn_Mus.Hs._41950_n06,Ady mes Morß yosquin mit 4 stim[men] (Adieu mes amours),5r_9-5v
A-Wn_Mus.Hs._41950_n07,Muteta Ysacc mit 3 stim[men] (Motette Isaac),6r
A-Wn_Mus.Hs._41950_n08,philomúsa mit 4 stim[men] ym abzug (Philomusa),6v-7r_1-3
A-Wn_Mus.Hs._41950_n09,Nún hab ich alle meyn tag gehort mit 4 stimmen (Nun habe ich alle meine Tage gehört),7r_4-10
A-Wn_Mus.Hs._41950_n10,Muteta meister paulus hofhamer mit 3 stimm[en] (Motette Meisters Paulus Hofhaimer),7v_1-6
A-Wn_Mus.Hs._41950_n11,AB mit 3 stimm[en] (AB),7v_7-9-8r_1-2
A-Wn_Mus.Hs._41950_n12,Von herczen ich thún freben mich mit 3 *k s[timmen?] (Von Herzen ich tue freuen mich),8r_3-7
A-Wn_Mus.Hs._41950_n13,Von edler artt ym abzuch (Von edler Art),8r_8-9-8v_1-6
A-Wn_Mus.Hs._41950_n14,[untitled: fragment] ([untitled: fragment]),8v_6
A-Wn_Mus.Hs._41950_n15,Ach vnfal was czeystú mit 3 stim[men] AB (Ach Unfall wessen zeihst du),8v_7-9-9r
A-Wn_Mus.Hs._41950_n16,Ecce vidy Muteta mit 3 stim[men] (Ecce virgo concipiet),9v-10r
A-Wn_Mus.Hs._41950_n17,Was will es doch des wunners groß mit 4 stimen AB (Was wird es noch des Wunders),10v_1-6
A-Wn_Mus.Hs._41950_n18,Meyn sin vnd gemút mit 3 stymen ym abzuch AB (Mein Sinn und Gemüt),10v_7-9-11r_1-2
A-Wn_Mus.Hs._41950_n19,contrapund auff Das medlen das ich meyne tenor im diskant pfert ym abzuch (Das Maidlein das ich meine),11r-11v_1
A-Wn_Mus.Hs._41950_n20,Chryst ist der standen [A?]B (Christ ist erstanden),11v_2-8
A-Wn_Mus.Hs._41950_n21,hoff dantz (Hoftanz),12r_1-6
A-Wn_Mus.Hs._41950_n22,noch dantz [crossed out] (Tanz),12r_7
A-Wn_Mus.Hs._41950_n23,noch dantz (Tanz),12v_1-4
A-Wn_Mus.Hs._41950_n24,Ach betler (Bettlertanz),12v_4-5
A-Wn_Mus.Hs._41950_n25,Der n[o]ch dantz color[iert] (Tanz),12v_6-7
A-Wn_Mus.Hs._41950_n26,Zwischen berg vnd dipfental mit 3 stimmen im abzúch (Zwischen Berg und tiefem Tal),12v_8-9-13v_1-2
A-Wn_Mus.Hs._41950_n27,[untitled] ([untitled]),13v_3-8
Agr_1529-1_n00,Musica instrumentalis deudsch ynn welcher begriffen ist (Musica instrumentalis deutsch in welcher begriffen ist),
AvA_1514-1515_A_n00,Altus (Alt),
AvA_1514-1515_A_n01,Mit gott so wóln (Mit Gott so wollen wir es heben an),j
AvA_1514-1515_A_n02,Auß hertzen grundt (Aus Herzens Grund),ij
AvA_1514-1515_A_n03,O werder mundt (O werter Mund),iij
AvA_1514-1515_A_n04,Es lebt mein hertz (Es lebt mein Herz),iiij
AvA_1514-1515_A_n05,Mein einigs a (Mein einiges A),v
AvA_1514-1515_A_n06,Der vnfal reit mich (Der Unfall reitet mich),vj
AvA_1514-1515_A_n07,Warumb hat mich (Warum hat mich so härtiglich),vij
AvA_1514-1515_A_n08,Freúntliches pild (Freundliches Bild),viij
AvA_1514-1515_A_n09,Ey freuntlichs hertz (Ei freundliches Herz),ix
AvA_1514-1515_A_n10,Jetz scheiden (Jetzt Scheiden),x
AvA_1514-1515_A_n11,Mit angst vnd not (Mit Angst und Not),xj
AvA_1514-1515_A_n12,Fors seulement (Fors seulement),xij
AvA_1514-1515_A_n13,Wer sich der pul (Wer sich der Buhlschaft),xiij
AvA_1514-1515_A_n14,Ursprung der lieb (Ursprung der Liebe),xiiij
AvA_1514-1515_A_n15,Ich het gepflantz (Ich hatte gepflanzt),xv
AvA_1514-1515_A_n16,Fil hinderlist (Viel Hinterlist),xvj
AvA_1514-1515_A_n17,Appollo (Apollo aller Kunst),xvij-xviij
AvA_1514-1515_A_n18,Ach scheiden thu mich (Ach Scheiden tut mich kränken),xix
AvA_1514-1515_A_n19,Ich scheid von hin (Ich scheide von hinnen),xx
AvA_1514-1515_A_n20,Mit leid vnd schmertz (Mit Leid und Schmerz),xxj
AvA_1514-1515_A_n21,O Jesu christ (O Jesus Christ dein Leiden),xxij
AvA_1514-1515_A_n22,Wolumb gelúck (Wohlum Glück),xxiij
AvA_1514-1515_A_n23,Da ich mein hertz (Da ich mein Herz),xxiiij
AvA_1514-1515_A_n24,Cupido hat (Cupido hat ihm jetzt erdacht),xxv
AvA_1514-1515_A_n25,Was ich durch glúck (Was ich durch Glück),xxvj
AvA_1514-1515_A_n26,Spóttliche wort (Spottliche Worte),xxvij
AvA_1514-1515_A_n27,Nach lust hab ich (Nach Lust),xxviij
AvA_1514-1515_A_n28,Het ich vill gelt (Hätte ich viel Geld),xxix
AvA_1514-1515_A_n29,Die lieb zwingt mich (Die Liebe zwingt mich),xxx
AvA_1514-1515_A_n30,Ich will mit (Ich will mit Fleiß),xxxj
AvA_1514-1515_A_n31,Ein meidlein thet (Ein Maidlein tat mir klagen),xxxij
AvA_1514-1515_A_n32,Wer gnad durch clafft (Wer Gnade durch Klaffen erlangen will),xxxiij
AvA_1514-1515_A_n33,Das kalb (Das Kalb geht),xxxiiij
AvA_1514-1515_A_n34,Ach hóchster hort (Ach höchster Hort),xxxv
AvA_1514-1515_A_n35,Der liebe strick (Der Liebe Strick),xxxvj
AvA_1514-1515_A_n36,Ach húlff mich leidt (Ach hilf mich Leid),xxxvij-xxxviij
AvA_1514-1515_A_n37,Entrúst mein gmút (Entrüstet mein Gemüt vor Unmut wütet),xxxix
AvA_1514-1515_A_n38,Ich denck mir (Ich denke mir wohl),xl
AvA_1514-1515_A_n39,Mein lieb vnd trew (Meine Liebe und Treue),xlj
AvA_1514-1515_A_n40,Sie ist mein bul (Sie ist meine Buhle),xlij
AvA_1514-1515_A_n41,Ein weiplich pild (Ein weibliches Bild mich ansieht),xliij
AvA_1514-1515_A_n42,Ich rew vnd clag (Ich reue und klage),xliiij
AvA_1514-1515_A_n43,Ich stel leicht ab (Ich stelle leicht ab),xlv
AvA_1514-1515_A_n44,Ach weiplich art (Ach weibliche Art hart),xlvj
AvA_1514-1515_A_n45,Ein pawer gab (Ein Bauer gab),xlvij
AvA_1514-1515_A_n46,Eim ieden gfelt (Einem jeden gefällt sein),xlviiij
AvA_1514-1515_A_n47,Ach jupiter (Ach Jupiter),xlix-l
AvA_1514-1515_A_n48,Ich hett wol sin (Ich hätte wohl Sinn),lj
AvA_1514-1515_A_n49,Ein plúmlein fein (Ein Blümlein fein),lij
AvA_1514-1515_A_n50,Mag ich hertzliche (Mag ich herzlichen Aufenthalt),liij
AvA_1514-1515_A_n51,Freuntlich vnd mildt (Freundlich und mild),liiij
AvA_1514-1515_A_n52,Mars yebt von art (Mars übt von Art),lv
AvA_1514-1515_A_n53,Frid gib mir her (Frieden gib mir Herr),lvj
AvA_1514-1515_A_n54,Auff erd lebt nie (Auf Erden lebt nicht),lvij
AvA_1514-1515_A_n55,Rosina (Rosina wo war deine Gestalt),lviij
AvA_1514-1515_A_n56,Ach gutter gsell (Ach guter Geselle),lix
AvA_1514-1515_A_n57,Mein M ich hab (Mein M ich habe),lx
AvA_1514-1515_A_n58,Ich klag vnd rew (Ich klage und reue),lxj
AvA_1514-1515_A_n59,Mein hóchste frucht (Meine höchste Frucht),lxij
AvA_1514-1515_A_n60,Nie noch nimer (Nie noch nimmer),lxiij
AvA_1514-1515_A_n61,In ewig zeit (In ewiger Zeit),lxiiij
AvA_1514-1515_A_n62,Einigs ein (Einiges Eines schönes),lxv-lxvj
AvA_1514-1515_A_n63,Sie ist die schón (Sie ist die Schöne),lxvij
AvA_1514-1515_A_n64,Mein hertzigs a (Mein herziges A),lxviij
AvA_1514-1515_A_n65,Die mich erfreit (Die mich erfreut ist Lobes wert),lxix
AvA_1514-1515_A_n66,Ein frólich wesen (Ein fröhliches Wesen),lxx
AvA_1514-1515_A_n67,Ich traw keim alten (Ich traue keinem alten Stechzeug mehr),lxxj
AvA_1514-1515_A_n68,Ich schrei vnd rúff (Ich schrie und rief),lxxij
AvA_1514-1515_A_n69,Ach was will doch (Ach was will doch),lxxiij-lxxiiij
AvA_1514-1515_A_n70,Fernd was mein (Fert war mein Gemüt),lxxv
AvA_1514-1515_A_n71,Wi du (Wie du nun willst),lxxvj
AvA_1514-1515_A_n72,Ich schel mein horn (Ich schelle mein Horn),lxxij
AvA_1514-1515_A_n73,Nach allem wunsch (Nach allem Wunsch),lxxiij
AvA_1514-1515_A_n74,An dich kan ich (Ohne dich kann ich),lxxix
AvA_1514-1515_A_n75,Nu schaw mein glúck (Nun schaue mein Glück),lxxx
AvA_1514-1515_A_n76,Der welte lauff (Der Welt Lauf),lxxxj
AvA_1514-1515_A_n77,[register] ([register]),
AvA_1514-1515_B_n00,Bassus (Baß),
AvA_1514-1515_B_n01,Mit got so wóln wirs heben an (Mit Gott so wollen wir es heben an),i
AvA_1514-1515_B_n02,Ach weiplich art (Ach weibliche Art hart),ij
AvA_1514-1515_B_n03,Wolumb gelúck (Wohlum Glück),iij
AvA_1514-1515_B_n04,In ewig zeit (In ewiger Zeit),iiij
AvA_1514-1515_B_n05,Ey freuntlichs hertz (Ei freundliches Herz),v
AvA_1514-1515_B_n06,Fil hinderlist (Viel Hinterlist),vj
AvA_1514-1515_B_n07,Sie ist mein bul (Sie ist meine Buhle),vij
AvA_1514-1515_B_n08,Ich hett wol sin (Ich hätte wohl Sinn),viij
AvA_1514-1515_B_n09,Jetz scheiden (Jetzt Scheiden),ix
AvA_1514-1515_B_n10,Mein hertzigs a (Mein herziges A),x
AvA_1514-1515_B_n11,Ein meidlein thet (Ein Maidlein tat mir klagen),xj
AvA_1514-1515_B_n12,Nach lust hab ich (Nach Lust),xij
AvA_1514-1515_B_n13,Nach allem wunsch (Nach allem Wunsch),xiij
AvA_1514-1515_B_n14,Da ich mein hertz (Da ich mein Herz),xiiij
AvA_1514-1515_B_n15,Freuntlich vnd mildt (Freundlich und mild),xv
AvA_1514-1515_B_n16,Nie noch nimer (Nie noch nimmer),xvj
AvA_1514-1515_B_n17,Frid gib mir herr (Frieden gib mir Herr),xvij
AvA_1514-1515_B_n18,Fernd was mein (Fert war mein Gemüt),xviij
AvA_1514-1515_B_n19,Ach was will doch (Ach was will doch),xix-xx
AvA_1514-1515_B_n20,Ich klag vnd rew (Ich klage und reue),xxi
AvA_1514-1515_B_n21,Nu schaw mein glúck (Nun schaue mein Glück),xxij
AvA_1514-1515_B_n22,Ich denck mir (Ich denke mir wohl),xxiij
AvA_1514-1515_B_n23,Dae kalp (Das Kalb geht),xxiiij
AvA_1514-1515_B_n24,Rosina (Rosina wo war deine Gestalt),xxv
AvA_1514-1515_B_n25,Sie ist die schón (Sie ist die Schöne),xxvj
AvA_1514-1515_B_n26,Der liebe strick (Der Liebe Strick),xxvij
AvA_1514-1515_B_n27,Ursprung der lieb (Ursprung der Liebe),xxviij
AvA_1514-1515_B_n28,Ich schel mein horn (Ich schelle mein Horn),xxxix
AvA_1514-1515_B_n29,O Jesu christ (O Jesus Christ dein Leiden),xxx
AvA_1514-1515_B_n30,Mein M ich hab (Mein M ich habe),xxxj
AvA_1514-1515_B_n31,Ein pawer gab (Ein Bauer gab),xxxij
AvA_1514-1515_B_n32,Appollo aller (Apollo aller Kunst),xxxiij-xxxiiij
AvA_1514-1515_B_n33,Fors seulement (Fors seulement),xxxv
AvA_1514-1515_B_n34,Die mich erfreit (Die mich erfreut ist Lobes wert),xxxvj
AvA_1514-1515_B_n35,An dich kan ich (Ohne dich kann ich),xxxvij
AvA_1514-1515_B_n36,Wer sich der pul (Wer sich der Buhlschaft),xxxviij
AvA_1514-1515_B_n37,Ich scheid von hinn (Ich scheide von hinnen),xxxix
AvA_1514-1515_B_n38,Ich will mit fleiß (Ich will mit Fleiß),xl
AvA_1514-1515_B_n39,Auff erdt lebt nie (Auf Erden lebt nicht),xlj
AvA_1514-1515_B_n40,Mag ich hertzliche (Mag ich herzlichen Aufenthalt),xlij
AvA_1514-1515_B_n41,Ein weiplich pild (Ein weibliches Bild mich ansieht),xliij
AvA_1514-1515_B_n42,Wer gnad durch clafft (Wer Gnade durch Klaffen erlangen will),xliiij
AvA_1514-1515_B_n43,Der vnfal reit mich (Der Unfall reitet mich),xlv
AvA_1514-1515_B_n44,Was ich durch glúck (Was ich durch Glück),xlvj
AvA_1514-1515_B_n45,Ich rew vnd clag (Ich reue und klage),xlvij
AvA_1514-1515_B_n46,Mein lieb vnd trew (Meine Liebe und Treue),xlviij
AvA_1514-1515_B_n47,Ach jupiter (Ach Jupiter),xlviiij-l
AvA_1514-1515_B_n48,O werder mundt (O werter Mund),lj
AvA_1514-1515_B_n49,Cupido hat (Cupido hat ihm jetzt erdacht),lij
AvA_1514-1515_B_n50,Ein frólich wesen (Ein fröhliches Wesen),liij
AvA_1514-1515_B_n51,Ein plúmlein fein (Ein Blümlein fein),liiij
AvA_1514-1515_B_n52,Mit leid vnd schmertz (Mit Leid und Schmerz),lv
AvA_1514-1515_B_n53,Einigs ein (Einiges Eines schönes),lvj
AvA_1514-1515_B_n54,Ach hulff mich leidt (Ach hilf mich Leid),lvij-lviij
AvA_1514-1515_B_n55,Ach scheiden thu mich (Ach Scheiden tut mich kränken),lix
AvA_1514-1515_B_n56,Auß hertzen grund (Aus Herzens Grund),lx
AvA_1514-1515_B_n57,Ich traw keim alten (Ich traue keinem alten Stechzeug mehr),lxj
AvA_1514-1515_B_n58,Ich schrei vnd rúff (Ich schrie und rief),lxij
AvA_1514-1515_B_n59,Freúntliches pild (Freundliches Bild),lxiij
AvA_1514-1515_B_n60,Ach hochster hort (Ach höchster Hort),lxiiij
AvA_1514-1515_B_n61,Der welt lauff (Der Welt Lauf),lxv
AvA_1514-1515_B_n62,Warumb hat mich (Warum hat mich so härtiglich),lxvj
AvA_1514-1515_B_n63,Eim ieden gfelt (Einem jeden gefällt sein),lxij
AvA_1514-1515_B_n64,Mars yebt von art (Mars übt von Art),lxiij
AvA_1514-1515_B_n65,Es lebt mein hertz (Es lebt mein Herz),lxix
AvA_1514-1515_B_n66,Entrúst mein gmút (Entrüstet mein Gemüt vor Unmut wütet),lxx
AvA_1514-1515_B_n67,Het ich vill gelt (Hätte ich viel Geld),lxxj
AvA_1514-1515_B_n68,Entrúst mein gmút (Entrüstet mein Gemüt vor Unmut wütet),lxxij
AvA_1514-1515_B_n69,Nach lust hab ich (Nach Lust),lxxiij
AvA_1514-1515_B_n70,Wie du nun wilt (Wie du nun willst),lxxiiij
AvA_1514-1515_B_n71,Ach gutter gsell (Ach guter Geselle),lxxv
AvA_1514-1515_B_n72,Mein hóchste frucht (Meine höchste Frucht),lxxvj
AvA_1514-1515_B_n73,Spótlicher wort (Spottliche Worte),lxxvij
AvA_1514-1515_B_n74,Mein einigs a (Mein einiges A),lxxviij
AvA_1514-1515_B_n75,Ich het gepflanzt (Ich hatte gepflanzt),lxxxix
AvA_1514-1515_B_n76,Ich stel leicht ab (Ich stelle leicht ab),lxxx
AvA_1514-1515_B_n77,Mit ang vnd not (Mit Angst und Not),lxxxj
AvA_1514-1515_B_n78,[register] ([register]),
AvA_1514-1515_D_n00,Mit got so wóln wirs heben an (Mit Gott so wollen wir es heben an),i
AvA_1514-1515_D_n01,Nach lust hab ich (Nach Lust),ij
AvA_1514-1515_D_n02,Was ich durch glúck (Was ich durch Glück),iij
AvA_1514-1515_D_n03,Mein M ich hab (Mein M ich habe),iiij
AvA_1514-1515_D_n04,Ein meidlein thet (Ein Maidlein tat mir klagen),v
AvA_1514-1515_D_n05,Jetz scheiden (Jetzt Scheiden),vj
AvA_1514-1515_D_n06,Ach scheiden thu mich (Ach Scheiden tut mich kränken),vij
AvA_1514-1515_D_n07,Hee ich vil gelt (Hätte ich viel Geld),viij
AvA_1514-1515_D_n08,Ich schel mein horn (Ich schelle mein Horn),ix
AvA_1514-1515_D_n09,Wie du nun wilt (Wie du nun willst),x
AvA_1514-1515_D_n10,Auff erd lebt nie (Auf Erden lebt nicht),xj
AvA_1514-1515_D_n11,Sie ist mein bul (Sie ist meine Buhle),xij
AvA_1514-1515_D_n12,Fridt gib mir her (Frieden gib mir Herr),xiij
AvA_1514-1515_D_n13,Das kalb (Das Kalb geht),xiiij
AvA_1514-1515_D_n14,Ich klag vnd rew (Ich klage und reue),xv
AvA_1514-1515_D_n15,Der vnfal reit mich (Der Unfall reitet mich),xvj
AvA_1514-1515_D_n16,Aus hertzen grundt (Aus Herzens Grund),xvij
AvA_1514-1515_D_n17,Freuntlich vnd mildt (Freundlich und mild),xviij
AvA_1514-1515_D_n18,Fors seulement (Fors seulement),xix
AvA_1514-1515_D_n19,O werder mundt (O werter Mund),xx
AvA_1514-1515_D_n20,O Jesu christ (O Jesus Christ dein Leiden),xxj
AvA_1514-1515_D_n21,Freúntliches pild (Freundliches Bild),xxij
AvA_1514-1515_D_n22,Einigs ein (Einiges Eines schönes),xxiij
AvA_1514-1515_D_n23,[E]ntrijst mein gmút (Entrüstet mein Gemüt vor Unmut wütet),xxiiij
AvA_1514-1515_D_n24,Ich traw keim alten (Ich traue keinem alten Stechzeug mehr),xxv
AvA_1514-1515_D_n25,Ich hett wol sin (Ich hätte wohl Sinn),xxvj
AvA_1514-1515_D_n26,Ich het gepflantz (Ich hatte gepflanzt),xxvij
AvA_1514-1515_D_n27,Mein hóchste frucht (Meine höchste Frucht),xxviij
AvA_1514-1515_D_n28,Ich rew vnd clag (Ich reue und klage),xxix
